Huskur,12.861299,77.706789,38,1,15,0,207,7,97,365,3035,87,76,50,5,5,5,54,5,5,5,5,58
J P Nagar,27.423787,77.097581,81,6,42,14,44,0,237,424,5915,101,88,59,6,6,6,63,6,6,6,6,67
Jayanagar,13.944957,75.574502,0,0,0,0,0,0,0,0,6483,0,0,0,0,0,0,0,0,0,0,0,0
Jayanagar West,28.628375,77.074996,56,11,167,5,120,0,292,651,2013,156,136,90,9,9,9,97,9,9,9,9,104
Jayangar III Block,28.621024,77.114464,50,4,81,23,0,0,60,218,3906,52,45,30,3,3,3,32,3,3,3,3,34
Jigani,12.780238,77.632492,64,0,69,8,59,0,224,424,5546,101,88,59,6,6,6,63,6,6,6,6,67
JP Nagar III Phase,27.423787,77.097581,57,6,87,7,83,0,152,392,4970,93,82,54,6,6,6,58,6,6,6,6,62
JP Nagar VIII phase,27.423787,77.097581,46,3,34,13,26,4,48,174,4949,41,36,24,2,2,2,26,2,2,2,2,27
Kagalipura,12.277614,76.893228,13,6,49,4,234,33,514,853,725,204,178,119,12,12,12,127,12,12,12,12,136
Kalkere,13.034843,77.673824,49,0,43,0,86,9,4,191,1037,45,39,26,3,3,3,28,3,3,3,3,30
Kallubalu,12.772033,77.62325,135,0,249,2,226,13,51,676,5677,162,141,94,10,10,10,101,10,10,10,10,108
Kathriguppe,12.915901,77.766263,283,10,336,54,318,12,407,1420,5545,340,298,198,20,20,20,213,20,20,20,20,227
Kengeri,12.91376,77.486032,55,0,81,25,112,0,0,273,2605,65,57,38,4,4,4,40,4,4,4,4,43
Konanakunte,12.886524,77.566299,84,18,62,3,238,0,691,1096,6384,262,229,153,16,16,16,164,16,16,16,16,175
Koramangala I Block,22.625216,75.792756,22,1,32,10,140,0,134,339,5600,81,70,47,5,5,5,50,5,5,5,5,54
Koramangala,12.935264,77.624685,3,0,0,0,0,1,0,4,3264,0,0,0,0,0,0,0,0,0,0,0,0
Koramangala VI Bk,12.923549,77.618994,12,0,6,0,12,0,19,49,3491,11,10,6,1,1,1,7,1,1,1,1,7
Kumaraswamy Layout,12.90806,77.56094,44,1,30,0,48,1,43,167,4653,39,34,23,2,2,2,25,2,2,2,2,26
Kumbalagodu,12.88307,77.447798,48,1,10,0,201,13,154,427,6018,102,89,59,6,6,6,64,6,6,6,6,68
Kumbalgodu Gollahalli,12.829183,77.666357,12,0,25,3,52,0,39,131,1540,31,27,18,2,2,2,19,2,2,2,2,20
